State;Continent;Owner;RT.com;Spt.ru;All %;OK;Fail;Flag;Euro %;OK;Fail;Flag;TTJA %;OK;Fail;Flag;NEPLP %;OK;Fail;Flag;Cat3 %;Cat5 %
RU;EU;JSC ER-Telecom Holding;0;0;0.2;49;12;0;0.5;11;11;0;0.0;5;0;0;0.03;37;1;0;0.0;0.0
DE;EU;Hetzner Online GmbH;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
MD;EU;Alexhost Srl;0;0;0.2;86;22;0;0.52;16;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
RS;EU;M247 Ltd;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
PL;EU;ATM S.A.;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;Hetzner Online GmbH;0;0;0.22;86;24;0;0.54;16;19;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
NO;EU;Globalconnect As;0;0;0.27;22;8;0;0.6;4;6;0;0.0;6;0;0;0.23;17;5;0;0.0;0.0
DE;EU;SPRINTLINK;0;0;0.15;82;15;0;0.45;12;10;0;0.0;9;0;0;0.09;67;7;0;0.0;0.0
ES;EU;Telefonica De Espana;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
FR;EU;Online S.a.s.;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;netcup GmbH;0;0;1.0;0;2;0;1.0;0;2;0;0;0;0;0;0;0;0;0;0.0;0.0
ES;EU;Xtra Telecom S.A.;0;0;0.2;82;21;0;0.5;16;16;0;0.0;9;0;0;0.12;63;9;0;0.0;0.0
NL;EU;UUNET;0;0;0.34;73;37;0;0.91;3;32;1;0.0;9;0;0;0.14;65;11;0;0.33;0.2
DE;EU;myLoc managed IT AG;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
RU;EU;JSC Elektrosvyaz;0;0;0.11;16;2;0;0.5;1;1;0;0.0;3;0;0;0.12;14;2;0;0.0;0.0
CH;EU;Bluewin;0;0;0.35;13;7;0;0.62;3;5;0;0.0;1;0;0;0.17;10;2;0;0.0;0.0
RU;EU;Rostelecom;0;0;0.27;22;8;0;0.75;2;6;0;0.0;2;0;0;0.14;19;3;0;0.0;0.0
DE;EU;myLoc managed IT AG;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
RU;EU;Joint-stock company Internet Exchange MSK-IX;0;0;0.19;88;21;0;0.47;18;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
RU;EU;Hosting technology LTD;0;0;0.2;86;22;0;0.52;16;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
UA;EU;Ugletelecom, State Telecommunications Agency;0;0;0.21;11;3;0;0.4;3;2;0;0.0;1;0;0;0.11;8;1;0;0.0;0.0
CH;EU;Bluewin;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
